contact_name,String,Curation.Contact.Name,meta.bib.author;meta.curation,Contact name,CONTACT,,char,*,,,,
contact_email,String,Curation.Contact.Email,meta.ref.url;meta.email,Contact email,EMAIL,,char,*,,,,
,,,,,,,,,,,,
,Target,Target,,Target Metadata,,,,,,,,
target_name,String,Target.Name,meta.id;src,Target name,OBJECT,,char,*,,,q,
target_desc,String,Target.Description,meta.note;src,Target description,OBJDESC,,char,*,,,,
target_class,String,Target.Class,src.class,Object class of observed target,SRCCLASS,,char,*,,,q,
target_spectralclass,String,Target.SpectralClass,src.spType,Object spectral class,SPECTYPE,,char,*,,,q,
target_pos,Double,Target.Pos,pos.eq;src,Target RA and Dec,RA_TARG DEC_TARG,,double,2,deg,deg,,
target_redshift,Double,Target.Redshift,src.redshift,Target redshift,REDSHIFT,,double,,,,,
target_varampl,Double,Target.VarAmpl,src.var.amplitude,Target variability amplitude (typical),TARGVAR,,double,,,,,
,,,,,,,,,,,,
,Derived,Derived,,Derived Metadata,,,,,,,,
derived_snr,Double,Derived.SNR,stat.snr,Signal-to-noise for observed target,DER_SNR,,double,,,,q,
derived_redshift,Double,Derived.Redshift.Value,src.redshift,Measured redshift for target,DER_Z,,double,,,,q,
derived_staterr,Double,Derived.Redshift.StatError,stat.error;src.redshift,Error on measured redshift,DER_ZERR,,double,,,,q,
derived_redshiftconf,Double,Derived.Redshift.Confidence,,Confidence value on redshift,DER_CONF,,double,,,,q,
derived_varampl,Double,Derived.VarAmpl,src.var.amplitude;arith.ratio,Variability amplitude as fraction of mean,DER_VAR,,double,,,,q,
,,,,,,,,,,,,
,CoordSys,CoordSys,,Coordinate System Metadata,,,,,,,,
coordsys_id,String,CoordSys.ID,,ID string for coordinate system,VOCSID,,char,*,,,p,
,SpaceFrame,CoordSys.SpaceFrame,,Spatial frame metadata,,,,,,,,
sf_id,String,CoordSys.SpaceFrame.ID,meta.id,ID string for spatial frame,,,,,,,p,
sf_name,String,CoordSys.SpaceFrame.Name,pos.frame,Spatial coordinate frame name,RADECSYS,,char,*,,,p,
sf_ucd,String,CoordSys.SpaceFrame.UCD,meta.ucd,Space frame UCD,,,char,*,,,p,
sf_refpos,String,CoordSys.SpaceFrame.RefPos,,Origin of SpaceFrame,,,char,*,,,p,
sf_equinix,Double,CoordSys.SpaceFrame.Equinox,time.equinox;pos.frame,Equinox,EQUINOX,,double,,y,y,p,
,TimeFrame,CoordSys.TimeFrame,,Time frame metadata,,,,,,,,
tf_id,String,CoordSys.TimeFrame.ID,meta.id,ID string for time frame,,,,,,,p,
tf_name,String,CoordSys.TimeFrame.Name,time.scale,Timescale,TIMESYS,,char,*,,,p,
tf_ucd,String,CoordSys.TimeFrame.UCD,meta.ucd,Time frame UCD,,,char,*,,,p,
tf_refpos,String,CoordSys.TimeFrame.RefPos,time.scale,Location for times of photon arrival,,,char,*,,,p,
tf_zero,Double,CoordSys.TimeFrame.Zero,arith.zp;time,Zero point of timescale in MJD,MJDREF,,double,,d,,p,
,SpectralFrame,CoordSys.SpectralFrame,,Spectral frame metadata,,,,,,,,
ef_id,String,CoordSys.SpectralFrame.ID,meta.id,ID string for spectral frame,,,,,,,p,
ef_name,String,CoordSys.SpectralFrame.Name,,Spectral frame name,,,char,*,,,p,
ef_ucd,String,CoordSys.SpectralFrame.UCD,meta.ucd,Spectral frame UCD,,,char,*,,,p,
ef_refpos,String,CoordSys.SpectralFrame.RefPos,spect.frame,Spectral frame origin,SPECSYS,,char,*,,,p,
ef_redshift,Double,CoordSys.SpectralFrame.Redshift,,Redshift value used if restframe corrected,,,double,,,,p,
,RedshiftFrame,CoordSys.RedshiftFrame,,Redshift frame metadata,,,,,,,,
rf_id,String,CoordSys.RedshiftFrame.ID,meta.id,ID string for redshift frame,,,,,,,p,
rf_name,String,CoordSys.RedshiftFrame.Name,,Redshift frame name,,,char,*,,,p,
rf_ucd,String,CoordSys.RedshiftFrame.UCD,meta.ucd,Redshift frame UCD,,,char,*,,,p,
rf_refpos,String,CoordSys.RedshiftFrame.RefPos,,Redshift frame origin,,,char,*,,,p,
rf_doppler,String,CoordSys.RedshiftFrame.DopplerDefinition,,Type of redshift,,,char,*,,,p,
,FluxFrame,CoordSys.FluxFrame,,Flux (observable) frame metadata,,,,,,,,
ff_id,String,CoordSys.FluxFrame.ID,meta.id,ID string for flux frame,,,char,*,,,p,
ff_name,String,CoordSys.FluxFrame.Name,,Name of photometric band,,,char,*,,,p,
ff_ucd,String,CoordSys.FluxFrame.UCD,meta.ucd,UCD for photometric calibration,,,char,*,,,p,
ff_refid,String,CoordSys.FluxFrame.refID,meta.ref.ivorn,URI for photometric calibration,,,char,*,,,p,
,,,,,,,,,,,,
,SpatialAxis,Char.SpatialAxis,,Spatial Axis Characterization,,,,,,,,
s_name,String,Char.SpatialAxis.Name,meta.id,Name for spatial axis,,,char,*,,,,
s_ucd,String,Char.SpatialAxis.UCD,meta.ucd,UCD for spatial coord,SKY_UCD,,char,*,,,,
s_unit,String,Char.SpatialAxis.Unit,meta.unit,Unit for spatial coord,,,char,*,,deg,,
s_ra,Double,Char.SpatialAxis.Coverage.Location.Coord.Position2D.Value2.C1,pos.eq.ra;meta.main,Spatial position first coordinate,,4;@ID,,,,,m,
s_dec,Double,Char.SpatialAxis.Coverage.Location.Coord.Position2D.Value2.C2,pos.eq.dec;meta.main,Spatial position second coordinate,,5;@ID,,,,,m,
s_fov,Double,Char.SpatialAxis.Coverage.Bounds.Extent.Diameter,pos.AngSize;instr.fov,Diameter of field of view,,,double,,deg,deg,q,
s_lo_ra,Double,Char.SpatialAxis.Coverage.Bounds.Limits.LoLimit2Vec.C1,pos.eq.ra;stat.min,Lower bounds of image spatial coordinates,,,double,2,deg,deg,,
s_lo_dec,Double,Char.SpatialAxis.Coverage.Bounds.Limits.LoLimit2Vec.C2,pos.eq.dec;stat.min,Lower bounds of image spatial coordinates,,,double,2,deg,deg,,
s_hi_ra,Double,Char.SpatialAxis.Coverage.Bounds.Limits.HiLimit2Vec.C1,pos.eq.ra;stat.max,Higher bounds of image spatial coordinates,,,double,2,deg,deg,,
s_hi_dec,Double,Char.SpatialAxis.Coverage.Bounds.Limits.HiLimit2Vec.C2,pos.eq.dec;stat.max,Higher bounds of image spatial coordinates,,,double,2,deg,deg,,
s_region,AstroCoordArea,Char.SpatialAxis.Coverage.Support.Area,,Aperture region,REGION,,char,*,deg,deg,q,
s_area,,Char.SpatialAxis.Coverage.Support.Extent,pos.AngSize;instr.fov,Filled area of aperture region,AREA,,double,,sqdeg,sqdeg,,
s_extent,Double,Char.SpatialAxis.Sampling.SampleExtent,phys.angSize;instr.pixel,Spatial bin size,,,float,,,,,
s_fillfactor,Double,Char.SpatialAxis.Sampling.RefVal.FillFactor,stat.filling;pos,Spatial sampling filling factor,SKY_FILL,,float,,,,,
s_stat_error,Double,Char.SpatialAxis.Accuracy.StatError.RefVal.Value,stat.error;pos.eq,Astrometric statistical error,SKY_ERR,,double,,deg,deg,q,
s_sys_error,Double,Char.SpatialAxis.Accuracy.SysError.RefVal.Value,stat.error.sys;pos.eq,Astrometric systematic error,SKY_SYE,,double,,deg,deg,,
s_calib_status,String,Char.SpatialAxis.CalibrationStatus,meta.code.qual,Type of spatial coord calibration,SKY_CAL,,char,*,,,q,
s_resolution,Double,Char.SpatialAxis.Resolution.Refval.Value,pos.angResolution,Spatial resolution of data,SKY_RES,,double,,arcsec,arcsec,q,
s_resolution_min,,Char.SpatialAxis.Resolution.Bounds.Limits.LoLimit,pos.angResolution;stat.min,Lower limit of spatial resolution,,,double,,arcsec,arcsec,,
s_resolution_max,,Char.SpatialAxis.Resolution.Bounds.Limits.HiLimit,pos.angResolution;stat.max,Upper limit of spatial resolution,,,double,,arcsec,arcsec,,
,,,,,,,,,,,,
,SpectralAxis,Char.SpectralAxis,,Spectral Axis Characterization,,,,,,,,
em_name,String,Char.SpectralAxis.Name,meta.id,Name for spectral axis,,,char,*,,,,
em_ucd,String,Char.SpectralAxis.UCD,meta.ucd,UCD for spectral coord,,,char,*,,,q,
em_unit,String,Char.SpectralAxis.Unit,meta.unit,Unit for spectral coord,,,char,*,,m,q,
em_bandpass,Double,Char.SpectralAxis.Coverage.Location.Coord.Spectral.Value,em.wl;instr.bandpass,Spectral coord value,SPEC_VAL,,double,,,m,q,
em_bandwidth,Double,Char.SpectralAxis.Coverage.Bounds.Extent,em.wl;instr.bandwidth,Bounds of spectral coverage,SPEC_BW,,double,,,m,q,
em_min,Double,Char.SpectralAxis.Coverage.Bounds.Limits.LoLimit,em.wl;stat.min,Start in spectral coordinate,TDMIN,6;@ID,double,,,m,m,
em_max,Double,Char.SpectralAxis.Coverage.Bounds.Limits.HiLimit,em.wl;stat.max,Stop in spectral coordinate,TDMAX,7;@ID,double,,,m,m,
em_filled_extent,Double,Char.SpectralAxis.Coverage.Support.Extent,em.wl;instr.bandwidth,Width of filled area of spectral coverage,,,double,,,m,,
em_binsize,Double,Char.SpectralAxis.Sampling.SampleExtent,em.wl;spect.binSize,Wavelength bin size,,,double,,,m,,
em_fill_factor,Double,Char.SpectralAxis.Sampling.RefVal.FillFactor,stat.filling;em,Spectral sampling filling factor,SPEC_FIL,,double,,,,q,
em_stat_error,Double,Char.SpectralAxis.Accuracy.StatError.Refval.value,stat.error;em,Spectral coord statistical error,SPEC_ERR,,double,,,m,q,
em_sys_error,Double,Char.SpectralAxis.Accuracy.SysError.Refval.value,stat.error.sys;em,Spectral coord systematic error,SPEC_SYE,,double,,,m,,
em_calib_status,String,Char.SpectralAxis.CalibrationStatus,meta.code.qual,Type of spectral coord calibration,SPEC_CAL,,char,*,,m,q,
em_resolution,Double,Char.SpectralAxis.Resolution.RefVal.value,spect.resolution;em.wl,Spectral resolution FWHM,SPEC_RES,,double,,,m,q,
em_res_power,Double,Char.SpectralAxis.Resolution.ResolPower.RefVal,spect.resolution,Spectral resolving power,SPEC_RP,8;@ID,double,,,,m,
em_res_power_min,Double,Char.SpectralAxis.Resolution.ResolPower.LoLimit,spect.resolution,Low bound of spectral resolving power,,,double,,,,,
em_res_power_max,Double,Char.SpectralAxis.Resolution.ResolPower.HiLimit,spect.resolution,High bound of spectral resolving power,,,double,,,,,
,,,,,,,,,,,,
,TimeAxis,Char.TimeAxis,,Time Axis Characterization,,,,,,,,
t_name,String,Char.TimeAxis.Name,meta.id,Name for time axis,,,char,*,,,,
t_ucd,String,Char.TimeAxis.UCD,meta.ucd,UCD for time,,,char,*,,,q,
t_unit,String,Char.TimeAxis.Unit,meta.unit,Unit for time,TIMEUNIT,,char,*,,s,q,
t_midpoint,Double,Char.TimeAxis.Coverage.Location.Coord.Time.TimeInstant,time.epoch;obs,Midpoint of exposure on MJD scale,DATE-OBS,,double,,d,d,q,
t_extent,Double,Char.TimeAxis.Coverage.Bounds.Extent,time.duration;obs.exposure,Total exposure time,TELAPSE,,double,,,s,q,
t_min,Double,Char.TimeAxis.Coverage.Bounds.Limits.StartTime,time.start;obs.exposure,Start time,TSTART,9;@ID,double,,,d,m,
t_max,Double,Char.TimeAxis.Coverage.Bounds.Limits.StopTime,time.stop;obs.exposure,Stop time,TSTOP,10;@ID,double,,,d,m,
t_exptime,Double,Char.TimeAxis.Coverage.Support.Extent,time.duration;obs.exposure,Effective exposure time,EXPOSURE,11;@ID,double,,,s,m,
t_binsize,Double,Char.TimeAxis.Sampling.SampleExtent,time.interval,Time bin size,,,double,,,s,,
t_fill_factor,Double,Char.TimeAxis.Sampling.RefVal.FillFactor,stat.filling;time,Time sampling filling factor,DTCOR,,double,,,,q,
t_stat_error,Double,Char.TimeAxis.Accuracy.StatError.Refval.value,stat.error;time,Time coord statistical error,TIME_ERR,,double,,,s,q,
t_sys_error,Double,Char.TimeAxis.Accuracy.SysError.Refval.value,stat.error.sys;time,Time coord systematic error,TME_SYE,,double,,,s,,
t_calib_status,String,Char.TimeAxis.CalibrationStatus,meta.code.qual,Type of coord calibration,TIME_CAL,,char,*,,,q,
t_resolution,Double,Char.TimeAxis.Resolution.RefVal.value,time.resolution,Time resolution FWHM,TIME_RES,,double,,,s,q,
,,,,,,,,,,,,
,ObservableAxis,Char.ObservableAxis,,Observable Axis Characterization,,,,,,,,
o_name,String,Char.ObservableAxis.Name,meta.id,Name for observable axis,,,char,*,,,,
o_ucd,String,Char.ObservableAxis.UCD,meta.ucd,UCD for observable,,12;@ID,char,*,,,m,
o_unit,String,Char.ObservableAxis.Unit,meta.unit,Unit for observable,,13;@ID,char,*,,,m,
o_stat_error,Double,Char.ObservableAxis.Accuracy.StatError.Refval.value,stat.error;${o_ucd),Observable statistical error,STAT_ERR,,double,,,,,
o_sys_error,Double,Char.ObservableAxis.Accuracy.SysError.Refval.value,stat.error.sys;$(o_ucd),Observable systematic error,SYS_ERR,,double,,,,,
o_calib_status,String,Char.ObservableAxis.CalibrationStatus,meta.code.qual,Level of calibration,FLUX_CAL,,char,*,,,q,
,,,,,,,,,,,,
,PolAxis,Char.PolAxis,,Polarization Axis Characterization,,,,,,,,
pol_axis_name,String,Char.PolAxis.Name,meta.id,Name for polarization axis,,,char,*,,,,
pol_ucd,String,Char.PolAxis.UCD,meta.ucd,UCD for polarization type,,,char,*,,,q,
pol_states,String,Char.PolAxis.StateList,meta.code;phys.polarization;meta.fits   ,List of polarization states present,,,char,*,,,q,
,,,,,,,,,,,,
,,,,,,,,,,,,
#           Field ID,Type,UTYPE,UCD,Description,FITS,CSV,DataType,ArraySize,Unit,SiapUnit,Hint,
## DATA Model,,,,,,,,,,,,
,,,,,,,,,,,,
,SpectralAxis,Data.SpectralAxis,,Spectral Axis Data,,,,,,,,
data_em_value,,Data.SpectralAxis.Value,,Spectral coordinates for points,WAVE ENER FREQ,1;@ID,double,,,,,
data_em_ucd,,Data.SpectralAxis.Ucd,meta.ucd,UCD for spectral coord,,,char,*,,,p,
data_em_unit,,Data.SpectralAxis.Unit,meta.unit,Unit for spectral coord,,,char,*,,,p,
data_em_binsize,,Data.SpectralAxis.Accuracy.BinSize,em;spect.binSize,Spectral coord bin size,WAVE_BIN ENER_BIN FREQ_BIN,,double,,,,,
data_em_binlow,,Data.SpectralAxis.Accuracy.BinLow,em;stat.min,Spectral coord bin lower end,WAVE_LO ENER_LO FREQ_LO,,double,,,,,
data_em_binhigh,,Data.SpectralAxis.Accuracy.BinHigh,em;stat.max,Spectral coord bin upper end,WAVE_HI ENER_HI FREQ_HI,,double,,,,,
data_em_stat_error,,Data.SpectralAxis.Accuracy.StatError,em;stat.error,Spectral coord measurement error,WAVE_ERR ENER_ERR FREQ_ERR,3;@ID,double,,,,,
data_em_stat_errlow,,Data.SpectralAxis.Accuracy.StatErrLow,em;stat.error;stat.min,Spectral coord measurement lower error,WAVE_ELO ENER_ELO FREQ_ELO,,double,,,,,
data_em_stat_errhigh,,Data.SpectralAxis.Accuracy.StatErrHigh,em;stat.error;stat.max,Spectral coord measurement upper error,WAVE_EHI ENER_EHI FREQ_EHI,,double,,,,,
data_em_sys_error,,Data.SpectralAxis.Accuracy.SysError,em;stat.error,Spectral coord systematic error,WAVE_SYE ENER_SYE FREQ_SYE,,double,,,,,
data_em_resolution,,Data.SpectralAxis.Resolution,spect.resolution,Spectral resolution FWHM,WAVE_RES ENER_RES FREQ_RES,,double,,,,,
,,,,,,,,,,,,
,FluxAxis,Data.FluxAxis,,Flux Axis Data,,,,,,,,
data_o_value,,Data.FluxAxis.Value,,Flux values for points,FLUX,2;@ID,double,,,,,
data_o_ucd,,Data.FluxAxis.Ucd,meta.ucd,UCD for flux,,,char,*,,,p,
data_o_unit,,Data.FluxAxis.Unit,meta.unit,Unit for flux,,,char,*,,,p,
data_o_stat_error,,Data.FluxAxis.Accuracy.StatError,phot.flux.density;em;stat.error,Flux symmetric statistical error,ERR,,double,,,,,
data_o_stat_errlow,,Data.FluxAxis.Accuracy.StatErrLow,phot.flux.density;em;stat.error;stat.min,Flux lower error,ERR_LO,,double,,,,,
data_o_stat_errhigh,,Data.FluxAxis.Accuracy.StatErrHigh,phot.flux.density;em;stat.error;stat.max,Flux upper error,ERR_HI,,double,,,,,
data_o_sys_error,,Data.FluxAxis.Accuracy.SysError,phot.flux.density;em;stat.error.sys,Flux systematic error,SYS_ERR,,double,,,,,
data_o_quality,,Data.FluxAxis.Quality,meta.code.qual;phot.flux.density;em,Flux measurement quality mask,QUALITY,4;@ID,long,,,,,
data_o_quality_desc,,Data.FluxAxis.Quality.n,,Meaning of quality value,,,char,*,,,p,
,,,,,,,,,,,,
,TimeAxis,Data.TimeAxis,,Time Axis Data,,,,,,,,
data_t_value,,Data.TimeAxis.Value,,Time coordinates for points,TIME,,double,,,,,
data_t_ucd,,Data.TimeAxis.Ucd,meta.ucd,UCD for time,,,char,*,,,p,
data_t_unit,,Data.TimeAxis.Unit,meta.unit,Unit for time,,,char,*,,,p,
data_t_binsize,,Data.TimeAxis.Accuracy.BinSize,time.interval,Time bin size,,,double,,,,,
data_t_binlow,,Data.TimeAxis.Accuracy.BinLow,time;stat.min,Time bin start,TIME_LO,,double,,,,,
data_t_binhigh,,Data.TimeAxis.Accuracy.BinHigh,time;stat.max,Time bin stop,TIME_HI,,double,,,,,
data_t_stat_error,,Data.TimeAxis.Accuracy.StatError,time;stat.error,Time coord measurement statistical error,TIME_ERR,,double,,,,,
data_t_stat_errlow,,Data.TimeAxis.Accuracy.StatErrLow,time;stat.error;stat.min,Time coord measurement lower error,TIME_ELO,,double,,,,,
data_t_stat_errhigh,,Data.TimeAxis.Accuracy.StatErrHigh,time;stat.error;stat.max,Time coord measurement upper error,TIME_EHI,,double,,,,,
data_t_sys_error,,Data.TimeAxis.Accuracy.SysError,time;stat.error.sys,Time coord measurement systematic error,TIME_SYE,,double,,,,,
data_t_resolution,,Data.TimeAxis.Resolution,time.resolution,Temporal resolution FWHM,TIME_RES,,double,,,,,
,,,,,,,,,,,,
,BackgroundModel,Data.BackgroundModel,,Background Model Data,,,,,,,,
data_b_value,,Data.BackgroundModel.Value,,Flux values for points,BGFLUX,,double,,,,,
data_b_ucd,,Data.BackgroundModel.Ucd,meta.ucd,UCD for background flux,,,char,*,,,p,
data_b_unit,,Data.BackgroundModel.Unit,meta.unit,Unit for background flux,,,char,*,,,p,
data_b_stat_error,,Data.BackgroundModel.Accuracy.StatError,phot.flux.density;em;stat.error,Background model symmetric error,,,double,,,,,
data_b_stat_errlow,,Data.BackgroundModel.Accuracy.StatErrLow,phot.flux.density;em;stat.error;stat.min,Background model lower error,BG_ELO,,double,,,,,
data_b_stat_errhigh,,Data.BackgroundModel.Accuracy.StatErrHigh,phot.flux.density;em;stat.error;stat.max,Background model upper error,BG_EHI,,double,,,,,
data_b_sys_error,,Data.BackgroundModel.Accuracy.SysError,phot.flux.density;em;stat.error.sys,Background model systematic error,BG_SYE,,double,,,,,
data_b_quality,,Data.BackgroundModel.Quality,meta.code.qual;phot.flux.density;em,Background model quality mask,BGQUAL,,long,,,,,
